data,petr4,abev3,retorno_diario_petr4,retorno_diario_abev3
2015-01-02,8.683293,13.735766,NA,NA
2015-01-05,7.941135,13.487113,-0.08546964843867422,-0.01810259435112682
2015-01-06,7.681378,14.001563,-0.0327103115612567,0.03814381921468302
2015-01-07,8.043181,14.198765,0.047101314373540815,0.014084284733068664
2015-01-08,8.562695,14.264312,0.06459061408664057,0.004616387411158662
2015-01-09,8.822452,14.229815,0.030335893080391196,-0.002418413169874567
2015-01-12,8.200891,14.410921,-0.07045218268118658,0.012727220979330989
2015-01-13,8.432817,14.410921,0.028280585609539166,0
2015-01-14,8.265831,14.454041,-0.019801923841107905,0.0029921751704835575
2015-01-15,8.636912,14.479915,0.0448933688578923,0.0017900876301650825
2015-01-16,8.757512,14.583405,0.013963323928737337,0.007147141402418455
2015-01-19,8.507032,14.316057,-0.02860173071986649,-0.018332344195337136
2015-01-20,8.636912,14.574779,0.015267369395107533,0.01807215492366354
2015-01-21,9.184256,14.738638,0.06337264985448487,0.011242640454445452
2015-01-22,9.490397,14.902497,0.033333238968948686,0.011117648727107632
2015-01-23,9.258473,14.686895,-0.024437755343638345,-0.014467508364537918
2015-01-26,9.119317,14.652398,-0.015030124298034853,-0.0023488286666446534
2015-01-27,9.406906,14.626526,0.03153624333927629,-0.0017657178026422304
2015-01-28,8.45137,14.686895,-0.10157813844424501,0.004127364214851825
2015-01-29,8.043181,15.230214,-0.04829855987845755,0.03699345573043189
2015-01-30,7.699931,15.256087,-0.04267590148723499,0.0016987942520045873
2015-02-02,8.154508,15.083605,0.05903650305437802,-0.011305782406720755
2015-02-03,9.249195,15.135346,0.13424316954499282,0.003430280758479176
2015-02-04,9.29558,14.954243,0.005015031037836071,-0.011965567222579576
2015-02-05,9.119317,15.299208,-0.01896202281084114,0.023068034938311444
2015-02-06,8.460648,15.445817,-0.07222788724199403,0.009582783631675529
2015-02-09,8.720406,15.670045,0.030701903683973075,0.014517069572946628
2015-02-10,8.265831,15.557928,-0.052127733502316254,-0.007154861393186773
2015-02-11,8.42354,15.557928,0.019079630348115995,0
2015-02-12,8.766788,15.601051,0.04074866386341136,0.002771770122602435
2015-02-13,9.304857,15.523436,0.06137584255487871,-0.004974985339128768
2015-02-18,9.314136,15.695919,9.972211287072597e-4,0.011111135447074982
2015-02-19,9.007993,15.721786,-0.03286864181497873,0.001648007994944356
2015-02-20,8.943055,15.670045,-0.007208931001611685,-0.003291038308243066
2015-02-23,8.813175,15.937392,-0.014523001368100696,0.017061023117674434
2015-02-24,9.184256,15.937392,0.042105257185974354,0
2015-02-25,8.720406,15.739038,-0.05050490752870984,-0.012445825515240982
2015-02-26,8.562695,15.946015,-0.01808528180912683,0.013150549607923834
2015-02-27,8.859562,15.790781,0.03466980897953276,-0.009734971401945791
2015-03-02,8.738958,15.686779,-0.013612862577179308,-0.006586248013952023
2015-03-03,8.878114,15.972785,0.015923637577843985,0.018232296126566183
2015-03-04,8.599804,15.868784,-0.0313478741092984,-0.006511137538006029
2015-03-05,8.571973,15.912114,-0.0032362365467865084,0.002730517977937108
2015-03-06,8.581248,15.79945,0.001082014607372228,-0.007080391706595357
2015-03-09,8.275108,15.808119,-0.035675463522322315,5.486899860438488e-4
2015-03-10,7.904027,15.340113,-0.04484304011500506,-0.029605419847864245
2015-03-11,8.108122,15.721446,0.02582164762342032,0.024858552215358598
2015-03-12,7.857642,15.63478,-0.030892480404216882,-0.005512597250914464
2015-03-13,7.737041,15.721446,-0.015348243149789775,0.005543154428780062
2015-03-16,7.783426,15.600116,0.005995186014912113,-0.0077174834935667125
2015-03-17,8.219445,15.747449,0.05601890478563032,0.009444352849683924
2015-03-18,8.534864,15.972785,0.03837473211390807,0.014309365281957698
2015-03-19,8.275108,16.033451,-0.030434697026221036,0.0037980853057246744
2015-03-20,8.553418,16.180786,0.03363218945299584,0.009189225700692916
2015-03-23,8.655465,16.328121,0.011930552207316314,0.009105552721604404
2015-03-24,8.738958,16.163452,0.009646275503395918,-0.010084993858141988
2015-03-25,9.091485,15.964114,0.040339706404356246,-0.012332637854834405
2015-03-26,8.655465,15.669451,-0.04795916178710091,-0.018457836119185833
2015-03-27,8.683293,15.842784,0.003215078565969698,0.01106184256232079
2015-03-30,9.007993,16.163452,0.037393647778555916,0.020240634474344876
2015-03-31,8.961606,16.016119,-0.005149537749418842,-0.009115193957330403
2015-04-01,9.518228,16.423456,0.06211185807543873,0.025432940402103865
2015-04-02,9.917139,16.336788,0.04191021690171737,-0.005277086625373073
2015-04-06,9.935697,16.674788,0.001871305827214842,0.020689501510333663
2015-04-07,10.130511,16.848124,0.019607481991449793,0.01039509467826516
2015-04-08,9.805819,16.839457,-0.0320509004925813,-5.144192908361767e-4
2015-04-09,10.742796,16.752789,0.09555316083235899,-0.0051467217737484194
2015-04-10,10.956168,16.917456,0.01986186836276138,0.009829229031655728
2015-04-13,11.382912,16.822124,0.03895011467513099,-0.0056351262270167846
2015-04-14,11.559175,16.570787,0.01548487768332052,-0.0149408600245724
2015-04-15,12.375552,16.588127,0.07062588809322468,0.001046419823029554
2015-04-16,12.041578,16.553453,-0.02698659421414107,-0.0020902902419301927
2015-04-17,12.013749,16.527454,-0.0023110758407244303,-0.0015706088632989612
2015-04-20,12.125072,16.371454,0.009266299803666556,-0.00943884036827447
2015-04-22,12.060134,16.432117,-0.00535567953740812,0.003705413092814025
2015-04-23,11.939533,16.345451,-0.009999971807941654,-0.005274183478610861
2015-04-24,12.26423,16.40612,0.02719511726296142,0.003711674887404426
